"access_info"
"평일(09:30~18:00), 정시"
"08:30~24:00, 정시"
"07:00~10:00"
"12시간, 정시"
"08:00~20:00"
"08:30~18:00"
"도서관 휴관일 외화~토요일(09:00~18:00)일요일(09:00~17:00), 정시"
"10:00~18:00, 정시"
"14시간, 정시"
"07~24"
"09시~18시"
"운영시간내 및 야외 상시, 정시"
"08:30-19:30, 정시"
"06:00~00:00"
"09:00~18:00+ 출동 시 미개방, 정시"
"00:00-23:00, 정시"
"(평일)06:00-23:00+(주말)09:00-18:00, 정시"
"05:00~22:30, 정시"
"06:00~22:30, 정시"
"06:00~21:30"
"(평일)09:00~22:00(주말)09:00~18:00 (2,4주 월 휴관)"
"정시(09:00∼22:00):평일(화~금)정시(09:00~18:00):토정시(09:00~17:00):일, 정시"
"10:00~22:30"
"09:00-18:00, 정시"
"08:00~익일02:00, 정시"
"08:00~19:00"
"08:30-18:30, 정시"
"03:00-23:00, 정시"
"08:30~17:30, 정시"
"00:00~24:00, 상시"
"11~21"
"04:00~22:00"
"(학기중평일)09:00-18:00+(방학중평일)10:00-16:00+(주말 및 공휴일 개방하지않음), 정시"
"00:00~24:00"
"11:00~16:00, 정시"
"(평일)08:00~17:00, 정시"
"06:00-23:00, 정시"
"07:30~23:00, 정시"
"06:00-22:30, 정시"
"(평일)10:00-18:00+(주말)10:00-18:00, 정시"
"09:00~03:00"
"(평일)05:00-22:00+(주말)05:00-14:00+일요일폐쇄, 정시"
"08:00-21:30, 정시"
"09~19시, 정시"
"07;00~22:00, 정시"
"6:30~22:00, 정시"
"05:00~23:30, 정시"
"07:00~22:00(공휴일제외), 정시"
"(평일)10:00-17:00, 정시"
"06:30~22:30, 정시"
"07:00-18:00+일요일폐쇄, 정시"
"(평일)09:00~18:30, 정시"
"06~24, 정시"
"07~21, 정시"
"05:00~01:00, 정시"
"(월)09:00-18:00+(화~금)09:00-17:00+(토)09:00-13:00, 정시"
"6시~22시, 정시"
"목,금(09:00~18:00), 정시"
"평일 09:00~18:00, 정시"
"05:00~11:00"
"정시(08:00~22:00), 정시"
"08:00~18:30, 정시"
"운영시간동안, 정시"
"06:00~18:00, 정시"
"09:00~20:00"
"07:00~10:00, 정시"
"09:00-19:00, 정시"
"06~24시"
"10:00-05:00, 정시"
":~:, 상시"
"05:45-24:00, 정시"
"09:00~20:00, 정시"
"정시(월-금), 정시"
"(평일)09:00~18:00+ (주말)09:00~17:00, 정시"
